director_name,mean_imdb_score
Charles Chaplin,8.6
Tony Kaye,8.6
Alfred Hitchcock,8.5
Damien Chazelle,8.5
Majid Majidi,8.5
Ron Fricke,8.5
Christopher Nolan,8.43
Sergio Leone,8.43
Asghar Farhadi,8.4
Marius A. Markevicius,8.4
Richard Marquand,8.4
S.S. Rajamouli,8.4
Billy Wilder,8.3
Fritz Lang,8.3
Lee Unkrich,8.3
Lenny Abrahamson,8.3
Hayao Miyazaki,8.23
Pete Docter,8.23
Elia Kazan,8.2
George Roy Hill,8.2
Joshua Oppenheimer,8.2
Juan JosÃ© Campanella,8.2
Quentin Tarantino,8.2
Victor Fleming,8.15
Milos Forman,8.13
Akira Kurosawa,8.1
David Sington,8.1
Je-kyu Kang,8.1
Michael Roemer,8.1
Michael Wadleigh,8.1
Terry George,8.1
Tim Miller,8.1
William Wyler,8.1
Ari Folman,8
David Lean,8
Michel Hazanavicius,8
Stephen Chbosky,8
Vincent Paronnaud,8
Frank Darabont,7.98
Denis Villeneuve,7.97
James Cameron,7.91
Anna Muylaert,7.9
Christophe Barratier,7.9
Cristian Mungiu,7.9
Dan Gilroy,7.9
Don Hall,7.9
FabiÃ¡n Bielinsky,7.9
George Cukor,7.9
Jacques Perrin,7.9
Jonathan Dayton,7.9
StÃ©phane Aubier,7.9
Tom McCarthy,7.9
Joss Whedon,7.87
Morten Tyldum,7.85
Alejandro G. IÃ±Ã¡rritu,7.84
Alfonso CuarÃ³n,7.8
Bernardo Bertolucci,7.8
Christian Carion,7.8
Giuseppe Tornatore,7.8
Henry Alex Rubin,7.8
Jim Abrahams,7.8
Josh Boone,7.8
Mark Herman,7.8
Mark Sandrich,7.8
Mike van Diem,7.8
Nathan Greno,7.8
Ralph Ziman,7.8
Rich Moore,7.8
Ritesh Batra,7.8
Robert Stevenson,7.8
Stanley Kubrick,7.8
Sylvain Chomet,7.8
Dean DeBlois,7.77
Mel Gibson,7.77
David Fincher,7.75
James Marsh,7.75
Michael Moore,7.75
Richard Curtis,7.75
Andrew Stanton,7.73
Peter Weir,7.73
Tom Hooper,7.73
Alex Garland,7.7
Alex Gibney,7.7
Andrew Haigh,7.7
Brian Henson,7.7
Caroline Link,7.7
Chris Paine,7.7
Chuan Lu,7.7
Denys Arcand,7.7
Eric Bress,7.7
Fernando LeÃ³n de Aranoa,7.7
FranÃ§ois Girard,7.7
Jorge RamÃ­rez SuÃ¡rez,7.7
Kevin Macdonald,7.7
Lloyd Bacon,7.7
Mark Osborne,7.7
Orson Welles,7.7
Paolo Sorrentino,7.7
Philip Saville,7.7
Ricki Stern,7.7
Shane Meadows,7.7
Steve McQueen,7.7
Tomm Moore,7.7
William Cottrell,7.7
Wolfgang Becker,7.7
Martin Scorsese,7.68
Peter Jackson,7.68
Thomas Vinterberg,7.67
Francis Ford Coppola,7.66
Ben Affleck,7.65
Charles Ferguson,7.65
John Carney,7.65
Matthew Vaughn,7.65
Paul Haggis,7.65
Philip Kaufman,7.65
Todd Solondz,7.65
Alejandro AmenÃ¡bar,7.63
Chan-wook Park,7.63
Mel Brooks,7.63
Wes Anderson,7.63
Anthony Powell,7.6
Barry W. Blaustein,7.6
Brian Percival,7.6
Chia-Liang Liu,7.6
Chris Buck,7.6
Don Siegel,7.6
Edgar Wright,7.6
Eugenio Derbez,7.6
Fernando Meirelles,7.6
Gareth Evans,7.6
Isabel Coixet,7.6
Jerome Robbins,7.6
Joshua Tickell,7.6
Kay Pollak,7.6
Kevin Jordan,7.6
Luc Jacquet,7.6
Martin McDonagh,7.6
Mary Harron,7.6
Michael McGowan,7.6
Pan Nalin,7.6
Petter NÃ¦ss,7.6
Pierre Coffin,7.6
Ryan Coogler,7.6
Stanley Kramer,7.6
Ted Demme,7.6
Thea Sharrock,7.6
Tim McCanlies,7.6
Tom Ford,7.6
Paul Greengrass,7.59
Brad Bird,7.58
Spike Jonze,7.58
Duncan Jones,7.57
J.A. Bayona,7.55
James Algar,7.55
Stephen Chow,7.55
Steve James,7.55
Todd Field,7.55
Steven Spielberg,7.54
David Lynch,7.53
Yimou Zhang,7.53
Paul Thomas Anderson,7.52
Bennett Miller,7.5
Carol Reed,7.5
Charlie Kaufman,7.5
Dexter Fletcher,7.5
Gilles Paquet-Brenner,7.5
Irvin Kershner,7.5
Jafar Panahi,7.5
John Crowley,7.5
John G. Avildsen,7.5
John Patrick Shanley,7.5
Joshua Marston,7.5
Justin Dillon,7.5
Katsuhiro Ã”tomo,7.5
Khyentse Norbu,7.5
Kirsten Sheridan,7.5
Lars von Trier,7.5
Lynne Ramsay,7.5
Norman Ferguson,7.5
Sam Mendes,7.5
Sean Penn,7.5
Steve Box,7.5
Tate Taylor,7.5
Timothy Hines,7.5
Tom Putnam,7.5
Tony Bancroft,7.5
Whit Stillman,7.5
William H. Macy,7.5
Darren Aronofsky,7.48
Jean-Marc VallÃ©e,7.47
Denzel Washington,7.45
J.J. Abrams,7.45
Marco Kreuzpaintner,7.45
Nicholas Meyer,7.45
Stephen Daldry,7.45
Danny Boyle,7.44
Niki Caro,7.43
Richard Attenborough,7.43
Alexander Payne,7.42
Alejandro Monteverde,7.4
David Silverman,7.4
Duncan Tucker,7.4
George Lucas,7.4
Goran Dukic,7.4
Ham Tran,7.4
JirÃ­ Menzel,7.4
Joel Coen,7.4
Kiyoshi Kurosawa,7.4
LÃ©a Pool,7.4
Michael Haneke,7.4
Michel Orion Scott,7.4
Miranda July,7.4
Morgan Neville,7.4
Nat Faxon,7.4
Raymond De Felitta,7.4
Ron Clements,7.4
Shane Black,7.4
Siddiq Barmak,7.4
Theodore Witcher,7.4
Yash Chopra,7.4
John Lasseter,7.38
Mike Leigh,7.36
Derek Cianfrance,7.35
Roger Allers,7.35
Jean-Pierre Jeunet,7.34
Edward Zwick,7.33
Richard Linklater,7.33
Roman Polanski,7.33
Terry Gilliam,7.33
Tom Tykwer,7.33
Robert Zemeckis,7.31
Anthony Minghella,7.3
Benh Zeitlin,7.3
Bill Paxton,7.3
Carroll Ballard,7.3
Dan Harris,7.3
Dan Scanlon,7.3
Dan Trachtenberg,7.3
Duke Johnson,7.3
Eytan Fox,7.3
Fatih Akin,7.3
Gaspar NoÃ©,7.3
Greg Mottola,7.3
Hans Petter Moland,7.3
Jacob Aaron Estes,7.3
Jennifer Yuh Nelson,7.3
John Michael McDonagh,7.3
Johnnie To,7.3
Jorge R. GutiÃ©rrez,7.3
Laurent Tirard,7.3
Maggie Greenwald,7.3
Max FÃ¤rberbÃ¶ck,7.3
Nicholas Fackler,7.3
Ole Christian Madsen,7.3
Patrice Leconte,7.3
Patty Jenkins,7.3
Paul Crowder,7.3
Peter Farrelly,7.3
Peter Ramsey,7.3
Richard Glatzer,7.3
Robinson Devor,7.3
Stephen J. Anderson,7.3
Theodore Melfi,7.3
Tom McGrath,7.3
Bryan Singer,7.29
Phil Lord,7.28
Lee Daniels,7.27
Matt Reeves,7.27
Terence Young,7.27
Ang Lee,7.25
Richard Eyre,7.25
Terry Zwigoff,7.25
Tim Robbins,7.25
Jean-Jacques Annaud,7.23
Kathryn Bigelow,7.23
Marc Forster,7.23
Clint Eastwood,7.21
Aki KaurismÃ¤ki,7.2
Alessandro Carloni,7.2
Allen Coulter,7.2
Anna Boden,7.2
Ben Lewin,7.2
Billy Ray,7.2
Carlos Saura,7.2
Chris Eyre,7.2
Courtney Hunt,7.2
Craig Brewer,7.2
Daniel Barber,7.2
David S. Ward,7.2
David Yates,7.2
Debra Granik,7.2
FranÃ§ois Truffaut,7.2
Gabor Csupo,7.2
Henry Bean,7.2
Jamal Hill,7.2
James Wan,7.2
Jason Moore,7.2
Jason Reitman,7.2
