genres,mean_imdb_score
Drama,153
Comedy|Drama|Romance,151
Comedy|Drama,147
Comedy,145
Comedy|Romance,136
Drama|Romance,119
Crime|Drama|Thriller,82
Action|Crime|Thriller,55
Action|Crime|Drama|Thriller,50
Action|Adventure|Sci-Fi,46
Action|Adventure|Thriller,45
Comedy|Crime,45
Horror,43
Crime|Drama,42
Drama|Thriller,42
Crime|Drama|Mystery|Thriller,41
Action|Adventure|Sci-Fi|Thriller,34
Horror|Thriller,34
Horror|Mystery|Thriller,31
Biography|Drama,30
Drama|Mystery|Thriller,30
Adventure|Animation|Comedy|Family|Fantasy,28
Action|Comedy|Crime,27
Action|Adventure|Fantasy,25
Horror|Mystery,25
Documentary,24
Biography|Drama|Sport,23
Action|Thriller,22
Drama|Music,22
Drama|Sport,22
Action|Comedy|Crime|Thriller,21
Adventure|Animation|Comedy|Family,21
Biography|Drama|History,20
Comedy|Family,20
Action|Crime|Drama|Mystery|Thriller,19
Action|Drama|Thriller,18
Adventure|Family|Fantasy,17
Comedy|Family|Fantasy,17
Mystery|Thriller,17
Drama|History|War,17
Comedy|Crime|Drama,17
Action|Sci-Fi,16
Drama|War,16
Comedy|Sport,16
Drama|Music|Romance,16
Biography|Crime|Drama,15
Crime|Thriller,15
Comedy|Fantasy,15
Crime|Drama|Romance|Thriller,15
Biography|Drama|Romance,15
Fantasy|Horror,15
Action|Horror|Sci-Fi|Thriller,14
Crime|Mystery|Thriller,14
Adventure|Comedy,14
Comedy|Crime|Thriller,14
Comedy|Music,14
Action|Comedy,13
Action|Sci-Fi|Thriller,13
Comedy|Fantasy|Romance,13
Comedy|Drama|Romance|Sport,13
Action|Adventure|Fantasy|Sci-Fi,12
Action|Adventure|Fantasy|Sci-Fi|Thriller,12
Drama|Fantasy|Romance,12
Action|Adventure|Drama|Thriller,12
Drama|Mystery|Sci-Fi|Thriller,12
Drama|Sci-Fi|Thriller,12
Horror|Sci-Fi|Thriller,12
Adventure|Comedy|Family|Fantasy,11
Comedy|Drama|Family,11
Action|Crime|Sci-Fi|Thriller,11
Comedy|Drama|Fantasy|Romance,11
Comedy|Family|Romance,11
Comedy|Crime|Romance,11
Drama|Horror|Mystery|Thriller,11
Comedy|Drama|Music,11
Adventure|Animation|Family|Fantasy,10
Action|Adventure|Comedy,10
Drama|Mystery|Romance|Thriller,10
Biography|Drama|Music,10
Action|Adventure,9
Adventure|Comedy|Sci-Fi,9
Action|Mystery|Thriller,9
Drama|Horror|Thriller,9
Biography|Drama|History|Romance,9
Adventure|Fantasy,8
Action|Drama|War,8
Comedy|Fantasy|Horror,8
Action|Comedy|Sci-Fi,8
Drama|History|Thriller,8
Drama|Family,8
Action|Adventure|Comedy|Family|Sci-Fi,8
Action|Adventure|Crime|Thriller,8
Drama|Horror|Sci-Fi|Thriller,8
Drama|Mystery,8
Drama|History,8
Adventure|Drama,8
Drama|Romance|War,8
Comedy|Horror,8
Fantasy|Horror|Thriller,8
Adventure|Animation|Comedy|Family|Sci-Fi,7
Action|Drama,7
Adventure|Sci-Fi|Thriller,7
Action|Drama|Sci-Fi|Thriller,7
Drama|Sci-Fi,7
Documentary|Music,7
Sci-Fi|Thriller,7
Action|Comedy|Crime|Drama|Thriller,7
Comedy|Crime|Drama|Thriller,7
Adventure|Comedy|Drama,7
Biography|Drama|Thriller,7
Comedy|Drama|Music|Romance,7
Action|Adventure|Drama|Romance,6
Action|Adventure|Drama|Fantasy,6
Action|Adventure|Drama|History|War,6
Action|Crime|Mystery|Thriller,6
Action,6
Action|Adventure|Comedy|Crime,6
Action|Comedy|Romance,6
Action|Mystery|Sci-Fi|Thriller,6
Action|Drama|Thriller|War,6
Horror|Sci-Fi,6
Adventure|Comedy|Family,6
Fantasy|Horror|Mystery|Thriller,6
Drama|Musical|Romance,6
Action|Horror|Sci-Fi,6
Action|Horror|Thriller,6
Drama|Romance|Sport,6
Adventure|Drama|Thriller,6
Drama|Fantasy,6
Action|Crime|Drama|Romance|Thriller,6
Comedy|Fantasy|Horror|Thriller,6
Comedy|Documentary,6
Action|Adventure|Romance,5
Adventure|Family|Fantasy|Mystery,5
Action|Adventure|Family|Fantasy,5
Action|Adventure|Comedy|Sci-Fi,5
